PlayerName,Team,fg,fga,xpt,fpts 
Stephen Gostkowski,NE,27.9,32.9,56.8,140.4
Phil Dawson,SF,31,35.4,44.4,137.5
Matt Bryant,ATL,30.2,33.6,45,135.6
Matt Prater,DEN,26.9,30.6,52.4,133
Blair Walsh,MIN,31.5,35.2,37,131.5
Justin Tucker,BAL,29.7,33.3,41.8,130.8
Randy Bullock,HOU,28.1,34.1,43.6,127.8
Garrett Hartley,NO,23.9,28.1,55,126.5
Kai Forbath,WAS,27.6,30.2,43.5,126.3
David Akers,DET,26.7,32.9,44.7,124.9
Josh Brown,NYG,27.2,30.3,41.8,123.5
Mason Crosby,GB,23.6,29.4,52,123
Sebastian Janikowski,OAK,30.4,33.8,31.7,122.7
Dan Bailey,DAL,27.9,32,38.3,122.2
Alex Henery,PHI,26.7,29.8,40.2,120.3
Adam Vinatieri,IND,26.4,30.3,39.9,119
Greg Zuerlein,STL,27.9,32.1,34,117.7
Steven Hauschka,SEA,25.2,27.4,41.6,117.1
Robbie Gould,CHI,24.8,29.5,38.9,113.3
Rob Bironas,TEN,25.8,30.4,34.1,111.4
Nick Novak,SD,24.8,29.5,36.7,111.2
Lawrence Tynes,TB,24.1,30.3,38.9,111.2
Mike Nugent,CIN,24.9,30.9,35.9,110.6
Josh Scobee,JAC,26.7,30.8,29.7,109.8
Shaun Suisham,PIT,24.2,29.3,36,108.7
Ryan Succop,KC,25.5,31.1,31.7,108.2
Jay Feely,ARI,25.7,28.9,31,108
Connor Barth,TB,23.5,28.7,37.2,107.6
Graham Gano,CAR,21.6,27,41.1,105.9
Shayne Graham,CLE,24.8,30,30.4,104.9
Caleb Sturgis,MIA,23.6,30.1,31.9,102.7
Nick Folk,NYJ,23.9,29.5,31,102.5
Dustin Hopkins,BUF,22.2,27.5,30.1,96.7
Dan Carpenter,MIA,21,22.6,26.2,89.2
Rian Lindell,BUF,19.8,22.8,27.8,87.2
